x,y,phi,distanceFromLast
0,0,0.0,0,0
14.1924,91.5624,5.84232,93.443
-23.7207,171.914,5.84232,88.847
-216.686,189.736,3.27807,208.14
-236.224,47.4646,3.27807,143.607
